algorithm,params,n_rows,n_seeds,n_f0,mean_relative_error_mean,mean_relative_error_std,mean_relative_error_cv,rmse_mean,rmse_std,rmse_cv,variance_mean,variance_std,variance_cv,bias_mean,bias_std,bias_cv
HyperLogLog,"k=7,L=32",20,5,4,0.0721187046,0.005701153083391985,0.07905235008050858,312574.9046959,289014.7172195669,0.9246254669764533,27469824639.5765,45588384699.93704,1.6595804777820335,-260093.598,294666.6173539637,1.1329252992761618
HyperLogLog,"k=9,L=32",20,5,4,0.0346386812,0.0044662597730416274,0.12893850511380403,143826.40024505003,132827.53754394557,0.9235268164790004,8802106766.0085,14889222876.497652,1.6915521786211511,-101584.70800000001,139553.8487767182,1.3737682720584103
HyperLogLog,"k=11,L=32",20,5,4,0.017235153599999997,0.002307791769211115,0.1339002728244392,71383.30513185,66509.10189697708,0.9317178824114418,2413735006.7552004,4108931179.680065,1.7023124610533482,-44886.861,71947.15354187404,1.6028555336465617
HyperLogLog,"k=6,L=32",20,5,4,0.093039706,0.01421895408330983,0.15282673059295598,401169.790994,393768.6680188167,0.9815511458207131,58788063715.84499,96747868853.88567,1.645705994358332,-267903.00800000003,433897.82059992704,1.6196078716664764
HyperLogLog,"k=16,L=32",20,5,4,0.002736079,0.0004801181704484187,0.1754767206825602,10711.884798739999,9044.364241508076,0.8443298645791946,73553991.25889,126307478.1936194,1.717207673327359,-6890.394,8759.628288458483,1.2712811906631876
HyperLogLog,"k=4,L=32",20,5,4,0.19772681479999998,0.040611031743791104,0.20538960173342713,858089.4142324999,903201.8014544392,1.0525730611212458,161490080506.36002,255835776485.24268,1.5842197593998166,-664239.974,979703.0915968509,1.474923416152083
HyperLogLog,"k=12,L=32",20,5,4,0.015438594399999997,0.0036250615555202628,0.2348051552879881,79681.93301865,84178.03336653784,1.0564255933253464,1243179176.9154,2087865426.0724595,1.6794565617266137,-68658.788,86745.3012442575,1.2634260488876894
HyperLogLog,"k=5,L=32",20,5,4,0.15125349519999998,0.03783436733072812,0.25013879699573466,706875.688679,802914.7584833973,1.1358641573653125,89801580122.5,143815745675.4182,1.6014834647590441,-553389.5650000001,869280.5155506996,1.5708292503684984
HyperLogLog,"k=13,L=32",20,5,4,0.007362497399999998,0.0021624794135135573,0.2937154739794622,25539.162870685,20773.924114548267,0.8134144497897193,666161548.7618201,1136590757.4370518,1.7061788683985262,11324.619999999999,17202.86485193489,1.5190677348939647
HyperLogLog,"k=14,L=32",20,5,4,0.005148763000000001,0.0016409362550794948,0.31870495011704647,17510.32152391,14231.24485141389,0.8127346395085553,323418016.99591,551190540.838238,1.704266651431508,-5181.8589999999995,12782.057903062441,2.4666934980404607
HyperLogLog,"k=8,L=32",20,5,4,0.04108759620000001,0.014333995743348284,0.348864306239173,131290.62316040002,106440.87410356657,0.8107271604121028,17282738633.7245,29330252029.76839,1.6970835844577952,-72678.69399999999,78008.96037660616,1.073340150782101
HyperLogLog,"k=15,L=32",20,5,4,0.0063315832,0.0022994342444362403,0.36316892186400396,25445.85221616,27863.03745485113,1.0949932907790778,150283072.07499498,254909091.58337674,1.6961929781164626,-19876.716999999997,29782.748787601875,1.4983736392484674
HyperLogLog,"k=10,L=32",20,5,4,0.0193556482,0.010753022510125458,0.5555495945687553,47702.741439449994,53792.05936870922,1.127651320354167,4787682457.0557,8294064822.236586,1.732375715522541,-11663.055,14382.088636603186,1.2331321970618492
HyperLogLog++,k=7,20,5,4,0.0721157206,0.005701527683153333,0.07906081552977413,312547.15110240004,288976.5386303779,0.924585418907563,27470165907.876503,45589010814.76781,1.6595826529644693,-260064.383,294624.7276805659,1.1328914951055251
HyperLogLog++,k=9,20,5,4,0.034637561,0.004466702431407689,0.12895545478527456,143815.36569505,132811.7372248001,0.9234878107977539,8802111281.7585,14889234681.399889,1.6915526519479875,-101572.749,139535.9854836056,1.3737541501766934
HyperLogLog++,k=11,20,5,4,0.017234632200000006,0.0023079419862651294,0.13391303971460028,71377.99244135,66501.22270173834,0.9316768436206887,2413740041.1252003,4108940983.2132587,1.702312972070437,-44880.937,71938.17556563158,1.6028670605881419
HyperLogLog++,k=18,20,5,4,0.0013697459999999998,0.00018683613661286475,0.13640203118889543,5877.293040959999,5319.315811867626,0.9050622071753575,16545631.413907,28202789.78227211,1.7045459962662404,3829.828,5669.924056398119,1.4804644115605503
HyperLogLog++,k=6,20,5,4,0.0930347466,0.014216683296091477,0.15281046937458395,401120.934029,393690.95604716893,0.981476962802211,58789230196.84499,96749925912.34978,1.6457083310735714,-267846.608,433815.0140975101,1.6196397532781526
HyperLogLog++,k=4,20,5,4,0.19772681479999998,0.040611031743791104,0.20538960173342713,858089.4142324999,903201.8014544392,1.0525730611212458,161490080506.36002,255835776485.24268,1.5842197593998166,-664239.974,979703.0915968509,1.474923416152083
HyperLogLog++,k=16,20,5,4,0.0029047210000000003,0.000597346708260172,0.20564684465742902,10713.931838380002,9033.163103600577,0.84312307002379,73557119.21976,126305448.28664394,1.7171070540336482,-6874.6799999999985,8763.516920732103,1.2747527042323576
HyperLogLog++,k=12,20,5,4,0.015438034199999997,0.0036243279700606803,0.23476615760189734,79676.77190515,84170.3246371351,1.0563972739424532,1243183287.0004,2087873499.2218878,1.6794575032130528,-68653.396,86737.29817109897,1.2634087055372902
HyperLogLog++,k=5,20,5,4,0.15125349519999998,0.03783436733072812,0.25013879699573466,706875.688679,802914.7584833973,1.1358641573653125,89801580122.5,143815745675.4182,1.6014834647590441,-553389.5650000001,869280.5155506996,1.5708292503684984
HyperLogLog++,k=15,20,5,4,0.004899347600000001,0.001338490421265547,0.27319768478267326,25299.949519014997,27989.085211545073,1.1062901604016628,150288598.81712002,254907968.47970566,1.696123129006563,-20084.801,29622.62353863129,1.4748776220701063
HyperLogLog++,k=13,20,5,4,0.0073630775999999985,0.0021615809918134215,0.29357031247550913,25544.803302685,20778.024271318398,0.8133953518888295,666165883.86182,1136597905.5156493,1.7061784955523316,11330.811,17212.208326909895,1.5190623448674498
HyperLogLog++,k=14,20,5,4,0.005148346199999999,0.0016416229633489186,0.3188641360887733,17506.15687676,14228.575842992905,0.8127755248144616,323418730.71441,551191985.9276768,1.7042673586348296,-5177.064,12775.096367629278,2.467633463219554
HyperLogLog++,k=17,20,5,4,0.0017548094,0.0005799207867769892,0.3304750856571598,6112.631965635,5076.32932564373,0.830465395950987,36891375.089064,61816056.29416701,1.6756235338186574,-3506.014,3755.592495197417,1.071185823900708
HyperLogLog++,k=8,20,5,4,0.04108607140000001,0.014336300559918653,0.34893335068094755,131275.83685539998,106432.01933265117,0.810751025338241,17282790574.024498,29330378259.840706,1.6970857879816794,-72662.589,77986.13062068421,1.0732638582515166
HyperLogLog++,k=10,20,5,4,0.019354876200000003,0.010754293397659756,0.555637415942746,47695.116163950006,53795.98728620096,1.1279139587642362,4787705603.0957,8294106747.174501,1.7323760971876767,-11654.565,14376.573205606515,1.2335572546557092
LogLog,"k=8,L=32",20,5,4,0.05653343679999999,0.0065654337974472695,0.11613364000271201,232278.95399090002,213361.0062568307,0.9185550502573279,19770671950.419502,32775822718.438488,1.6578001395518092,-179155.992,219396.678781052,1.2246125643458914
LogLog,"k=11,L=32",20,5,4,0.020694941200000004,0.0026320791153532797,0.12718466266303183,85558.27616455001,80109.774690805,0.9363182415776333,2955011013.82945,5032278572.458396,1.702964404838877,-61727.255000000005,84047.29882456247,1.3615913881892605
LogLog,"k=15,L=32",20,5,4,0.005614671000000001,0.0009805790487587586,0.17464586059606316,26902.164713379996,28516.470967384164,1.0600065560226564,186379944.59039503,308530742.5270851,1.6553859547771592,-20941.012,30350.198084775522,1.4493185947639744
LogLog,"k=5,L=32",20,5,4,0.19516691059999997,0.04376754319285609,0.22425698628062465,928136.2783885,1031595.7141118645,1.111470091335077,98237939137.44,150357288640.54614,1.530541967398038,-811841.931,1084365.7770389665,1.3356858467550212
LogLog,"k=12,L=32",20,5,4,0.020497243399999997,0.005024511206545981,0.2451310699928548,106208.63366580001,114027.65373707315,1.0736194394127765,1433149927.45925,2397714626.9692183,1.6730382362855714,-96425.058,116664.99791734692,1.2099033211610504
LogLog,"k=4,L=32",20,5,4,0.2441480426,0.06000674161156225,0.2457801462282223,1085841.4047825,1209012.5998240628,1.113433872109744,121650090861.81001,164363994504.34256,1.3511210171725556,-933080.632,1288745.1647545025,1.3811723451939601
