algorithm,most_stable_params_by_mre_cv,mre_cv,rmse_cv,variance_cv,bias_cv
HyperLogLog,"k=7,L=32",0.07905235008050858,0.9246254669764533,1.6595804777820335,1.1329252992761618
HyperLogLog++,k=7,0.07906081552977413,0.924585418907563,1.6595826529644693,1.1328914951055251
LogLog,"k=8,L=32",0.11613364000271201,0.9185550502573279,1.6578001395518092,1.2246125643458914
Probabilistic Counting,L=1,8.530334796142498e-06,0.997114090438642,,0.997114090438642
