algorithm,params,mode,runs,sample_size,number_of_elements_processed,f0,seed,f0_mean_t,f0_hat_mean_t,variance,stddev,rse_theoretical,rse_observed,bias,absolute_bias,relative_bias,mean_relative_error,rmse,mae
Probabilistic Counting,L=16,streaming,50,10000000,1,100000,21041998,1,1.48,0.2546938776,0.5046720495,nan,0.5046720495,0.48,0.48,0.48,0.48,0.692820323,0.48
Probabilistic Counting,L=16,streaming,50,10000000,102,100000,21041998,2,2.42,2.330204082,1.5265006,nan,0.7632503,0.42,0.42,0.21,0.51,1.568438714,1.02
Probabilistic Counting,L=16,streaming,50,10000000,203,100000,21041998,3,3.22,4.583265306,2.140856209,nan,0.7136187362,0.22,0.22,0.07333333333,0.5933333333,2.130727575,1.78
Probabilistic Counting,L=16,streaming,50,10000000,304,100000,21041998,4,5.08,12.76897959,3.5733709,nan,0.8933427251,1.08,1.08,0.27,0.65,3.698648402,2.6
Probabilistic Counting,L=16,streaming,50,10000000,405,100000,21041998,5,6.18,24.43632653,4.943311292,nan,0.9886622584,1.18,1.18,0.236,0.604,5.033885179,3.02
Probabilistic Counting,L=16,streaming,50,10000000,506,100000,21041998,6,7.86,29.02081633,5.387097208,nan,0.8978495346,1.86,1.86,0.31,0.6766666667,5.648008499,4.06
Probabilistic Counting,L=16,streaming,50,10000000,607,100000,21041998,7,9.48,66.17306122,8.134682614,nan,1.162097516,2.48,2.48,0.3542857143,0.7314285714,8.426149773,5.12
Probabilistic Counting,L=16,streaming,50,10000000,708,100000,21041998,8,9.98,70.02,8.367795409,nan,1.045974426,1.98,1.98,0.2475,0.6825,8.51704174,5.46
Probabilistic Counting,L=16,streaming,50,10000000,809,100000,21041998,9,11.9,103.6836735,10.18251803,nan,1.131390892,2.9,2.9,0.3222222222,0.7177777778,10.4890419,6.46
Probabilistic Counting,L=16,streaming,50,10000000,910,100000,21041998,10,13.8,128,11.3137085,nan,1.13137085,3.8,3.8,0.38,0.684,11.82708755,6.84
Probabilistic Counting,L=16,streaming,50,10000000,1011,100000,21041998,11,16.2,210.0408163,14.49278497,nan,1.317525907,5.2,5.2,0.4727272727,0.7672727273,15.26040629,8.44
Probabilistic Counting,L=16,streaming,50,10000000,1112,100000,21041998,12,17.02,220.6322449,14.85369465,nan,1.237807888,5.02,5.02,0.4183333333,0.785,15.5376961,9.42
Probabilistic Counting,L=16,streaming,50,10000000,1213,100000,21041998,13,18.52,234.2546939,15.30538121,nan,1.177337016,5.52,5.52,0.4246153846,0.8,16.1257558,10.4
Probabilistic Counting,L=16,streaming,50,10000000,1314,100000,21041998,14,20.58,251.9220408,15.87205219,nan,1.133718014,6.58,6.58,0.47,0.8385714286,17.03467053,11.74
Probabilistic Counting,L=16,streaming,50,10000000,1415,100000,21041998,15,21.4,319.7142857,17.88055608,nan,1.192037072,6.4,6.4,0.4266666667,0.84,18.82232717,12.6
Probabilistic Counting,L=16,streaming,50,10000000,1516,100000,21041998,16,22.22,321.6036735,17.93331184,nan,1.12083199,6.22,6.22,0.38875,0.81125,18.8111669,12.98
Probabilistic Counting,L=16,streaming,50,10000000,1617,100000,21041998,17,23.66,324.8412245,18.0233522,nan,1.060197188,6.66,6.66,0.3917647059,0.7964705882,19.0446843,13.54
Probabilistic Counting,L=16,streaming,50,10000000,1718,100000,21041998,18,24.38,323.342449,17.98172542,nan,0.9989847454,6.38,6.38,0.3544444444,0.7544444444,18.90978583,13.58
Probabilistic Counting,L=16,streaming,50,10000000,1819,100000,21041998,19,25.1,320.7857143,17.91049174,nan,0.9426574599,6.1,6.1,0.3210526316,0.7126315789,18.75046666,13.54
Probabilistic Counting,L=16,streaming,50,10000000,1920,100000,21041998,20,26.94,370.5065306,19.24854619,nan,0.9624273097,6.94,6.94,0.347,0.697,20.27954635,13.94
Probabilistic Counting,L=16,streaming,50,10000000,2021,100000,21041998,21,29.42,749.1873469,27.37128691,nan,1.303394615,8.42,8.42,0.400952381,0.7933333333,28.37428413,16.66
Probabilistic Counting,L=16,streaming,50,10000000,2122,100000,21041998,22,30.96,726.4881633,26.95344437,nan,1.225156562,8.96,8.96,0.4072727273,0.7672727273,28.14675825,16.88
Probabilistic Counting,L=16,streaming,50,10000000,2223,100000,21041998,23,30.96,726.4881633,26.95344437,nan,1.171888886,7.96,7.96,0.3460869565,0.7408695652,27.84456859,17.04
Probabilistic Counting,L=16,streaming,50,10000000,2324,100000,21041998,24,32.2,711.1020408,26.6664966,nan,1.111104025,8.2,8.2,0.3416666667,0.7216666667,27.64272056,17.32
