pair_group,strategy,d,rho,merge_rel_mean,serial_rel_mean,baseline_gap_rel_mean,degradation_ratio_mean
12 vs 16,reduce_then_merge,10000000,1,0.0078164,0.0078164,0.0,1.0
12 vs 16,reduce_then_merge,1000000,10,0.009598246967924001,0.009598246967924001,0.0,1.0
12 vs 16,reduce_then_merge,100000,100,0.0135833127431844,0.0135833127431844,0.0,1.0
12 vs 18,unsafe_naive_merge,10000000,1,1.003296,0.0078164,0.9954796,128.35781178035924
12 vs 18,unsafe_naive_merge,1000000,10,0.046924390129199994,0.009598246967924001,0.04805382829180203,11.32828035300649
12 vs 18,unsafe_naive_merge,100000,100,0.011512683946940001,0.0135833127431844,0.014751866570394526,15.437454481731955
12 vs 18,reduce_then_merge,10000000,1,0.0078164,0.0078164,0.0,1.0
12 vs 18,reduce_then_merge,1000000,10,0.009598246967924001,0.009598246967924001,0.0,1.0
12 vs 18,reduce_then_merge,100000,100,0.0135833127431844,0.0135833127431844,0.0,1.0
14 vs 16,unsafe_naive_merge,10000000,1,0.7204355,0.011019899999999997,0.7094156000000001,65.37586547972305
14 vs 16,unsafe_naive_merge,1000000,10,0.0395841719916,0.0058950424802236,0.037660013438609356,48.47405549421656
14 vs 16,unsafe_naive_merge,100000,100,0.008016717903148,0.005393808225176,0.007093182288140706,2.4309568877228753
14 vs 16,reduce_then_merge,10000000,1,0.011019899999999997,0.011019899999999997,0.0,1.0
14 vs 16,reduce_then_merge,1000000,10,0.0058950424802236,0.0058950424802236,0.0,1.0
14 vs 16,reduce_then_merge,100000,100,0.005393808225176,0.005393808225176,0.0,1.0
14 vs 18,unsafe_naive_merge,10000000,1,0.9470671,0.011019899999999997,0.9360472,85.9415330447645
14 vs 18,unsafe_naive_merge,1000000,10,0.0496218756856,0.0058950424802236,0.047697717133151275,53.21736981560469
14 vs 18,unsafe_naive_merge,100000,100,0.0084821590259304,0.005393808225176,0.007541813912354248,4.2256507795930975
14 vs 18,reduce_then_merge,10000000,1,0.011019899999999997,0.011019899999999997,0.0,1.0
14 vs 18,reduce_then_merge,1000000,10,0.0058950424802236,0.0058950424802236,0.0,1.0
14 vs 18,reduce_then_merge,100000,100,0.005393808225176,0.005393808225176,0.0,1.0
16 vs 18,unsafe_naive_merge,10000000,1,0.7517329,0.0075029,0.7442300000000001,100.19231230590839
16 vs 18,unsafe_naive_merge,1000000,10,0.0412138294804,0.0034605442855804003,0.03984681017348835,67.24846446167768
16 vs 18,unsafe_naive_merge,100000,100,0.004730208136576,0.0034252750226119997,0.0020096880695110435,2.0832695389852036
16 vs 18,reduce_then_merge,10000000,1,0.0075029,0.0075029,0.0,1.0
16 vs 18,reduce_then_merge,1000000,10,0.0034605442855804003,0.0034605442855804003,0.0,1.0
16 vs 18,reduce_then_merge,100000,100,0.0034252750226119997,0.0034252750226119997,0.0,1.0
