pairing,pair_group,strategy,validity,d,rho,pairs,merge_rel_mean,merge_rel_median,merge_rel_max,serial_rel_mean,baseline_gap_abs_mean,baseline_gap_abs_max,baseline_gap_rel_mean,degradation_ratio_mean,merge_eq_serial_all,merge_eq_baseline_all
10->14,10 vs 14,unsafe_naive_merge,recoverable,10000000,1,25,1.0613779,1.0613779,1.0613779,0.0164168,10449611.0,10449611,1.0449611,64.65193582184105,False,False
10->14,10 vs 14,unsafe_naive_merge,recoverable,1000000,10,25,0.04456027422168,0.03844060381,0.112764347,0.02303149488648,110469.8,238690,0.05814227781570928,4.394868154817702,False,False
10->14,10 vs 14,unsafe_naive_merge,recoverable,100000,100,25,0.03318839209768,0.03114338115,0.07378675898,0.02432809588288,4584.72,16088,0.023038046685074982,2.250120246906375,False,False
10->14,10 vs 14,reduce_then_merge,recoverable,10000000,1,25,0.0164168,0.0164168,0.0164168,0.0164168,0.0,0,0.0,1.0,True,True
10->14,10 vs 14,reduce_then_merge,recoverable,1000000,10,25,0.02303149488648,0.02016441886,0.04711045986,0.02303149488648,0.0,0,0.0,1.0,True,True
10->14,10 vs 14,reduce_then_merge,recoverable,100000,100,25,0.02432809588288,0.02210741621,0.0574181195,0.02432809588288,0.0,0,0.0,1.0,True,True
10->16,10 vs 16,unsafe_naive_merge,recoverable,10000000,1,25,1.1029392,1.1029392,1.1029392,0.0164168,10865224.0,10865224,1.0865224,67.18356805223918,False,False
10->16,10 vs 16,unsafe_naive_merge,recoverable,1000000,10,25,0.051478043546840005,0.03630866072,0.1182564282,0.02303149488648,113290.36,314187,0.05962661000082119,6.005980111499441,False,False
10->16,10 vs 16,unsafe_naive_merge,recoverable,100000,100,25,0.03340034703368,0.02736063366,0.08515385891,0.02432809588288,6248.64,20889,0.03140056659643171,3.7256823913011483,False,False
10->16,10 vs 16,reduce_then_merge,recoverable,10000000,1,25,0.0164168,0.0164168,0.0164168,0.0164168,0.0,0,0.0,1.0,True,True
10->16,10 vs 16,reduce_then_merge,recoverable,1000000,10,25,0.02303149488648,0.02016441886,0.04711045986,0.02303149488648,0.0,0,0.0,1.0,True,True
10->16,10 vs 16,reduce_then_merge,recoverable,100000,100,25,0.02432809588288,0.02210741621,0.0574181195,0.02432809588288,0.0,0,0.0,1.0,True,True
10->18,10 vs 18,unsafe_naive_merge,recoverable,10000000,1,25,1.0490454,1.0490454,1.0490454,0.0164168,10326286.0,10326286,1.0326286,63.90072364894499,False,False
10->18,10 vs 18,unsafe_naive_merge,recoverable,1000000,10,25,0.05089871025772,0.04869640175,0.1016805798,0.02303149488648,122632.88,258908,0.06454551870956132,6.084489864194886,False,False
10->18,10 vs 18,unsafe_naive_merge,recoverable,100000,100,25,0.0195254159292,0.01718834811,0.04153325727,0.02432809588288,5097.32,19320,0.02561518452426219,1.6683052938487237,False,False
10->18,10 vs 18,reduce_then_merge,recoverable,10000000,1,25,0.0164168,0.0164168,0.0164168,0.0164168,0.0,0,0.0,1.0,True,True
10->18,10 vs 18,reduce_then_merge,recoverable,1000000,10,25,0.02303149488648,0.02016441886,0.04711045986,0.02303149488648,0.0,0,0.0,1.0,True,True
10->18,10 vs 18,reduce_then_merge,recoverable,100000,100,25,0.02432809588288,0.02210741621,0.0574181195,0.02432809588288,0.0,0,0.0,1.0,True,True
12->14,12 vs 14,unsafe_naive_merge,recoverable,10000000,1,25,0.7474526,0.7474526,0.7474526,0.0078164,7396362.0,7396362,0.7396362,95.62619620285554,False,False
12->14,12 vs 14,unsafe_naive_merge,recoverable,1000000,10,25,0.03427487401384,0.03501171496,0.05676052558,0.009598246967924001,66463.28,107949,0.034980605088567665,8.383106367149763,False,False
12->14,12 vs 14,unsafe_naive_merge,recoverable,100000,100,25,0.012334588087388,0.01169287975,0.03272204605,0.0135833127431844,2578.28,6747,0.012955875223358957,14.328824585601899,False,False
12->14,12 vs 14,reduce_then_merge,recoverable,10000000,1,25,0.0078164,0.0078164,0.0078164,0.0078164,0.0,0,0.0,1.0,True,True
12->14,12 vs 14,reduce_then_merge,recoverable,1000000,10,25,0.009598246967924001,0.008818543632,0.02339911005,0.009598246967924001,0.0,0,0.0,1.0,True,True
12->14,12 vs 14,reduce_then_merge,recoverable,100000,100,25,0.0135833127431844,0.01275165425,0.03275219998,0.0135833127431844,0.0,0,0.0,1.0,True,True
12->16,12 vs 16,unsafe_naive_merge,recoverable,10000000,1,25,0.9344645,0.9344645,0.9344645,0.0078164,9266481.0,9266481,0.9266481,119.55177575354384,False,False
12->16,12 vs 16,unsafe_naive_merge,recoverable,1000000,10,25,0.050685085228400005,0.05212931484,0.07851155301,0.009598246967924001,98446.84,162628,0.05181452339214315,11.035889922073252,False,False
12->16,12 vs 16,unsafe_naive_merge,recoverable,100000,100,25,0.01417143752824,0.01052864344,0.03969577623,0.0135833127431844,3145.56,9085,0.01580642399029592,9.938081302842997,False,False
12->16,12 vs 16,reduce_then_merge,recoverable,10000000,1,25,0.0078164,0.0078164,0.0078164,0.0078164,0.0,0,0.0,1.0,True,True
12->16,12 vs 16,reduce_then_merge,recoverable,1000000,10,25,0.009598246967924001,0.008818543632,0.02339911005,0.009598246967924001,0.0,0,0.0,1.0,True,True
12->16,12 vs 16,reduce_then_merge,recoverable,100000,100,25,0.0135833127431844,0.01275165425,0.03275219998,0.0135833127431844,0.0,0,0.0,1.0,True,True
12->18,12 vs 18,unsafe_naive_merge,recoverable,10000000,1,25,1.003296,1.003296,1.003296,0.0078164,9954796.0,9954796,0.9954796,128.35781178035924,False,False
12->18,12 vs 18,unsafe_naive_merge,recoverable,1000000,10,25,0.046924390129199994,0.04489591383,0.07954059728,0.009598246967924001,91300.92,149339,0.04805382829180203,11.32828035300649,False,False
12->18,12 vs 18,unsafe_naive_merge,recoverable,100000,100,25,0.011512683946940001,0.01208512349,0.02259424317,0.0135833127431844,2935.68,8150,0.014751866570394526,15.437454481731955,False,False
12->18,12 vs 18,reduce_then_merge,recoverable,10000000,1,25,0.0078164,0.0078164,0.0078164,0.0078164,0.0,0,0.0,1.0,True,True
12->18,12 vs 18,reduce_then_merge,recoverable,1000000,10,25,0.009598246967924001,0.008818543632,0.02339911005,0.009598246967924001,0.0,0,0.0,1.0,True,True
12->18,12 vs 18,reduce_then_merge,recoverable,100000,100,25,0.0135833127431844,0.01275165425,0.03275219998,0.0135833127431844,0.0,0,0.0,1.0,True,True
14->16,14 vs 16,unsafe_naive_merge,recoverable,10000000,1,25,0.7204355,0.7204355,0.7204355,0.011019899999999997,7094156.0,7094156,0.7094156000000001,65.37586547972305,False,False
14->16,14 vs 16,unsafe_naive_merge,recoverable,1000000,10,25,0.0395841719916,0.03912181952,0.05991379923,0.0058950424802236,71553.4,108642,0.037660013438609356,48.47405549421656,False,False
14->16,14 vs 16,unsafe_naive_merge,recoverable,100000,100,25,0.008016717903148,0.007222121706,0.02351197206,0.005393808225176,1411.6,3173,0.007093182288140706,2.4309568877228753,False,False
14->16,14 vs 16,reduce_then_merge,recoverable,10000000,1,25,0.011019899999999997,0.0110199,0.0110199,0.011019899999999997,0.0,0,0.0,1.0,True,True
14->16,14 vs 16,reduce_then_merge,recoverable,1000000,10,25,0.0058950424802236,0.005545980112,0.0177355231,0.0058950424802236,0.0,0,0.0,1.0,True,True
14->16,14 vs 16,reduce_then_merge,recoverable,100000,100,25,0.005393808225176,0.004396675611,0.0171224099,0.005393808225176,0.0,0,0.0,1.0,True,True
14->18,14 vs 18,unsafe_naive_merge,recoverable,10000000,1,25,0.9470671,0.9470671,0.9470671,0.011019899999999997,9360472.0,9360472,0.9360472,85.9415330447645,False,False
14->18,14 vs 18,unsafe_naive_merge,recoverable,1000000,10,25,0.0496218756856,0.04880201467,0.06423790734,0.0058950424802236,90624.56,120113,0.047697717133151275,53.21736981560469,False,False
14->18,14 vs 18,unsafe_naive_merge,recoverable,100000,100,25,0.0084821590259304,0.006959274427,0.02071807241,0.005393808225176,1500.84,4226,0.007541813912354248,4.2256507795930975,False,False
14->18,14 vs 18,reduce_then_merge,recoverable,10000000,1,25,0.011019899999999997,0.0110199,0.0110199,0.011019899999999997,0.0,0,0.0,1.0,True,True
14->18,14 vs 18,reduce_then_merge,recoverable,1000000,10,25,0.0058950424802236,0.005545980112,0.0177355231,0.0058950424802236,0.0,0,0.0,1.0,True,True
14->18,14 vs 18,reduce_then_merge,recoverable,100000,100,25,0.005393808225176,0.004396675611,0.0171224099,0.005393808225176,0.0,0,0.0,1.0,True,True
16->18,16 vs 18,unsafe_naive_merge,recoverable,10000000,1,25,0.7517329,0.7517329,0.7517329,0.0075029,7442300.0,7442300,0.7442300000000001,100.19231230590839,False,False
16->18,16 vs 18,unsafe_naive_merge,recoverable,1000000,10,25,0.0412138294804,0.04162432274,0.04872225033,0.0034605442855804003,75707.28,87717,0.03984681017348835,67.24846446167768,False,False
16->18,16 vs 18,unsafe_naive_merge,recoverable,100000,100,25,0.004730208136576,0.003843332697,0.01091429864,0.0034252750226119997,399.92,1727,0.0020096880695110435,2.0832695389852036,False,False
16->18,16 vs 18,reduce_then_merge,recoverable,10000000,1,25,0.0075029,0.0075029,0.0075029,0.0075029,0.0,0,0.0,1.0,True,True
16->18,16 vs 18,reduce_then_merge,recoverable,1000000,10,25,0.0034605442855804003,0.002911922248,0.008746363356,0.0034605442855804003,0.0,0,0.0,1.0,True,True
16->18,16 vs 18,reduce_then_merge,recoverable,100000,100,25,0.0034252750226119997,0.002717964692,0.009026078129,0.0034252750226119997,0.0,0,0.0,1.0,True,True
