strategy,validity,pairs,merge_rel_mean,merge_rel_median,merge_rel_max,serial_rel_mean,baseline_gap_abs_mean,baseline_gap_abs_max,degradation_ratio_mean
unsafe_naive_merge,recoverable,1125,0.3285275213980316,0.05345362702,1.1029392,0.025988678467043485,3084116.3066666666,10918566,27.69621678127672
reduce_then_merge,recoverable,1125,0.025988678467043485,0.0164168,0.1455362195,0.025988678467043485,0.0,0,1.0
