pairing,pair_group,strategy,validity,d,rho,pairs,merge_rel_mean,merge_rel_median,merge_rel_max,serial_rel_mean,baseline_gap_abs_mean,baseline_gap_abs_max,baseline_gap_rel_mean,degradation_ratio_mean,merge_eq_serial_all,merge_eq_baseline_all
14->18,14 vs 18,reduce_then_merge,recoverable,100000,100,25,0.005393808225176,0.004396675611,0.0171224099,0.005393808225176,0.0,0.0,0.0,1.0,True,True
14->18,14 vs 18,reduce_then_merge,recoverable,1000000,10,25,0.0058950424802236,0.005545980112,0.0177355231,0.0058950424802236,0.0,0.0,0.0,1.0,True,True
14->18,14 vs 18,reduce_then_merge,recoverable,10000000,1,25,0.011019899999999997,0.0110199,0.0110199,0.011019899999999997,0.0,0.0,0.0,1.0,True,True
18->14,14 vs 18,reject,recoverable,100000,100,25,,,,0.005393808225176,,,,,False,False
18->14,14 vs 18,reject,recoverable,1000000,10,25,,,,0.0058950424802236,,,,,False,False
18->14,14 vs 18,reject,recoverable,10000000,1,25,,,,0.011019899999999997,,,,,False,False
18->14,14 vs 18,unsafe_naive_merge,recoverable,100000,100,25,0.007764290808252,0.006844943436,0.02188889726,0.005393808225176,1541.72,3628.0,0.00774698256469973,3.365072123596532,False,False
18->14,14 vs 18,unsafe_naive_merge,recoverable,1000000,10,25,0.0500250248768,0.05015012296,0.06039794423,0.0058950424802236,91389.16,121526.0,0.048100866323679846,62.18909520521249,False,False
18->14,14 vs 18,unsafe_naive_merge,recoverable,10000000,1,25,0.9470671,0.9470671,0.9470671,0.011019899999999997,9360472.0,9360472.0,0.9360472,85.9415330447645,False,False
18->14,14 vs 18,reduce_then_merge,recoverable,100000,100,25,0.005393808225176,0.004396675611,0.0171224099,0.005393808225176,0.0,0.0,0.0,1.0,True,True
18->14,14 vs 18,reduce_then_merge,recoverable,1000000,10,25,0.0058950424802236,0.005545980112,0.0177355231,0.0058950424802236,0.0,0.0,0.0,1.0,True,True
18->14,14 vs 18,reduce_then_merge,recoverable,10000000,1,25,0.011019899999999997,0.0110199,0.0110199,0.011019899999999997,0.0,0.0,0.0,1.0,True,True
